genres,runtime,certificate,title,rate,year,votes,imgurl,desc
"Crime, Drama, Romance",130,R,Phantom Thread,8.8,2017,1336,"https://images-na.ssl-images-amazon.com/images/M/MV5BMWJkNzBkM2UtYWFlMC00NmEwLTgxOGUtMjVmMzYyZjgyMmEzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg","Set in 1950's London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover."
"Comedy, Romance",22,TV-14,The Big Bang Theory,8.3,2007,587726,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg",A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
"Comedy, Drama",44,TV-14,Suits,8.6,2011,289357,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MjYzOTU2Nl5BMl5BanBnXkFtZTgwMzAxMTg5MTE@._V1_UX67_CR0,0,67,98_AL_.jpg","On the run from a drug deal gone bad, Mike Ross, a brilliant college-dropout, finds himself a job working with Harvey Specter, one of New York City's best lawyers."
Comedy,22,TV-PG,The Office,8.8,2005,238775,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNjAzMDE0NF5BMl5BanBnXkFtZTcwNTEyMzM3OA@@._V1_UY98_CR2,0,67,98_AL_.jpg","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
"Crime, Drama, Fantasy",42,TV-14,Lucifer,8.2,2015,95846,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MTU0NzE1OF5BMl5BanBnXkFtZTgwODI3NDc0OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
"Drama, Horror, Mystery",121,R,The Killing of a Sacred Deer,7.3,2017,24996,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjU4NDcwOTA2NF5BMl5BanBnXkFtZTgwMjE2OTg4MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
"Crime, Drama, Thriller",49,TV-MA,Mr. Robot,8.6,2015,244307,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMDE2MzI4MF5BMl5BanBnXkFtZTgwNTkxODgxOTE@._V1_UX67_CR0,0,67,98_AL_.jpg","Follows Elliot, a young programmer working as a cyber-security engineer by day, and a vigilante hacker by night."
"Comedy, Drama",57,TV-MA,The Marvelous Mrs. Maisel,9,2017,7331,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTI0MjllMGMtOGYxMi00MTczLWJiMzMtNTA2ZmYxMDE5NmRiXkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX67_CR0,0,67,98_AL_.jpg",A housewife in the 1950s decides to become a stand-up comic.
"Action, Crime, Music",112,R,Baby Driver,7.7,2017,239013,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_UX67_CR0,0,67,98_AL_.jpg","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
"Comedy, Crime, Drama",118,PG-13,Logan Lucky,7.1,2017,51347,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyODg0NDU1OV5BMl5BanBnXkFtZTgwNjcxMzU0MjI@._V1_UX67_CR0,0,67,98_AL_.jpg",Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.
"Action, Biography, Comedy",115,R,American Made,7.2,2017,62818,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNzUwMjk1Nl5BMl5BanBnXkFtZTgwNDkwODI1MjI@._V1_UX67_CR0,0,67,98_AL_.jpg","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
